model_no;locale;brakujące_pole;wartość_z_ComUp;wartość_z_Comarch;status
95R;;kamień spoza listy 8: Perła;;;odrzucony
83R;;kamień spoza listy 8: Spektrolit;;;odrzucony
1078BA;;kamień spoza listy 8: Naturalne diamnety;;;odrzucony
999BB;;kamień spoza listy 8: Biały szafir, naturalne diamenty;;;odrzucony
769BB;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
721BB;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
638BA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
1052EC;;kamień spoza listy 8: Rubin;;;odrzucony
1044ED;;kamień spoza listy 8: Niebieski szafir;;;odrzucony
1041EB;;kamień spoza listy 8: Granat;;;odrzucony
1040ED;;kamień spoza listy 8: Perła;;;odrzucony
1039EA;;kamień spoza listy 8: Perła;;;odrzucony
1035EB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1033E;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1031EB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1025EXD;;kamień spoza listy 8: Ametyst;;;odrzucony
1016EB;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1008EA;;kamień spoza listy 8: Dublet opal;;;odrzucony
1006EA;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1000ED;;kamień spoza listy 8: Rubin;;;odrzucony
976ED;;kamień spoza listy 8: Czarny diamnet;;;odrzucony
967ED;;kamień spoza listy 8: Szary naturalny diament;;;odrzucony
936EB;;kamień spoza listy 8: Naturalny szary diament;;;odrzucony
966EB;;kamień spoza listy 8: Dublet Opal;;;odrzucony
955EA-R;;kamień spoza listy 8: Rubin;;;odrzucony
940EB;;kamień spoza listy 8: Czarny diament, szary naturalny diament;;;odrzucony
934EB;;kamień spoza listy 8: Rubin;;;odrzucony
922EB;;kamień spoza listy 8: Szare naturalne diamenty, czarne diamenty;;;odrzucony
894E;;kamień spoza listy 8: Szary naturalny diament;;;odrzucony
874E;;kamień spoza listy 8: Dublet Opal;;;odrzucony
871EBX;;kamień spoza listy 8: Opal;;;odrzucony
138E;;kamień spoza listy 8: Spektrolit;;;odrzucony
83E;;kamień spoza listy 8: Spektrolit;;;odrzucony
1081PB;;kamień spoza listy 8: Dublet Opal, Niebieski topaz;;;odrzucony
1052PC;;kamień spoza listy 8: Rubin;;;odrzucony
1048PB-R;;kamień spoza listy 8: Rubin;;;odrzucony
1044PD;;kamień spoza listy 8: Niebieski szafir;;;odrzucony
1041PB;;kamień spoza listy 8: Granat;;;odrzucony
1040PD;;kamień spoza listy 8: Perła;;;odrzucony
1039PB;;kamień spoza listy 8: Perła;;;odrzucony
1035PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1033PA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
1031PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1030PA;;kamień spoza listy 8: Boały i niebieski szafiry;;;odrzucony
1026PB;;kamień spoza listy 8: Rubin;;;odrzucony
1025PD;;kamień spoza listy 8: Ametyst;;;odrzucony
1020PD;;kamień spoza listy 8: Rubin;;;odrzucony
1016PB-RD;;kamień spoza listy 8: Naturalny diament;;;odrzucony
1011PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1008PA;;kamień spoza listy 8: Dublet opal, swiss topaz;;;odrzucony
1007PB;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1007PA;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1006P;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1003PD;;kamień spoza listy 8: Naturalne diamenty;;;odrzucony
1000PB;;kamień spoza listy 8: Rubiny;;;odrzucony
976PD;;kamień spoza listy 8: Granat;;;odrzucony
967PB;;kamień spoza listy 8: Naturalny diament;;;odrzucony
966PB;;kamień spoza listy 8: Dublet opal;;;odrzucony
956PD;;kamień spoza listy 8: Perła;;;odrzucony
955PB;;kamień spoza listy 8: Rubin;;;odrzucony
951PA;;kamień spoza listy 8: Naturalny i czarny diamenty;;;odrzucony
949PB;;kamień spoza listy 8: Dublet opal i swiss topaz;;;odrzucony
948PC;;kamień spoza listy 8: Dublet opal;;;odrzucony
948PB;;kamień spoza listy 8: Rubin;;;odrzucony
945PC;;kamień spoza listy 8: Garnat;;;odrzucony
943PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
940PB;;kamień spoza listy 8: Naturalne diamenty i granat;;;odrzucony
936PB;;kamień spoza listy 8: Czarny diament i naturalny diament;;;odrzucony
934PB;;kamień spoza listy 8: Rubin, szafiry biały i niebieski;;;odrzucony
924PC;;kamień spoza listy 8: Czarny diament, garnat;;;odrzucony
923PB;;kamień spoza listy 8: Naturalny diament, czarny diament i biały szafir;;;odrzucony
922PB;;kamień spoza listy 8: Naturalne diamenty, czarny diament;;;odrzucony
894PA;;kamień spoza listy 8: Naturalny diament;;;odrzucony
891P;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
886PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
885P;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
878PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
874PB;;kamień spoza listy 8: Dublet opal;;;odrzucony
872PA;;kamień spoza listy 8: Opal dublet i naturalne diamenty;;;odrzucony
871PA;;kamień spoza listy 8: Dublet opal, naturalny diament;;;odrzucony
855P;;kamień spoza listy 8: Naturalne dimenty;;;odrzucony
848PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
786P;;kamień spoza listy 8: Naturalny diament;;;odrzucony
758PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
747PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
743PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
738PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
726P;;kamień spoza listy 8: Naturalne diamenty i granat;;;odrzucony
720PB;;kamień spoza listy 8: Naturalne dimenty;;;odrzucony
653PB;;kamień spoza listy 8: Niebieski szafir;;;odrzucony
639PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
633PB;;kamień spoza listy 8: Labrodoryt;;;odrzucony
631PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
624PB;;kamień spoza listy 8: Spektrolit;;;odrzucony
623P;;kamień spoza listy 8: Natyralni diamenty;;;odrzucony
138P;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
584PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
544PA;;kamień spoza listy 8: Oniks;;;odrzucony
528PB;;kamień spoza listy 8: Spektrolit;;;odrzucony
460P;;kamień spoza listy 8: Natyralny diament;;;odrzucony
364P;;kamień spoza listy 8: Ametyst;;;odrzucony
333P;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
312P;;kamień spoza listy 8: Naturalny diament;;;odrzucony
287P;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
246P;;kamień spoza listy 8: Naturalny diament;;;odrzucony
228P;;kamień spoza listy 8: Naturalny diament;;;odrzucony
215PX;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
197P;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
154P;;kamień spoza listy 8: Naturalny diament;;;odrzucony
152P;;kamień spoza listy 8: Naturalny diament;;;odrzucony
146P;;kamień spoza listy 8: Obsydian śnieżny;;;odrzucony
138PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
122P;;kamień spoza listy 8: Naturalny diament;;;odrzucony
102P;;kamień spoza listy 8: Perła;;;odrzucony
83P;;kamień spoza listy 8: Spektrolit;;;odrzucony
SET 922;;kamień spoza listy 8: Czarne Diamenty, Naturalne Diamenty;;;odrzucony
1115R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1112RC;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1105RD-A;;kamień spoza listy 8: Amethyst;;;odrzucony
1100RA;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1070RB-BD;;kamień spoza listy 8: Schwarz Diamant, Würfel Rohdiamanten;;;odrzucony
1070RB-WS;;kamień spoza listy 8: Weißer Saphir, Würfel Rohdiamanten;;;odrzucony
1022RD-A;;kamień spoza listy 8: Amethyst;;;odrzucony
1021RD;;kamień spoza listy 8: swiss Topas;;;odrzucony
1000RB;;kamień spoza listy 8: Rubin;;;odrzucony
138R;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1081BB;;kamień spoza listy 8: Opal Dublette;;;odrzucony
1070BB;;kamień spoza listy 8: Schwarzer Diamanten, Würfel Rohdiamanten;;;odrzucony
1070BA;;kamień spoza listy 8: Schwarzer Diamanten, Würfel Rohdiamanten;;;odrzucony
1069BB-BD;;kamień spoza listy 8: Schwarzer Diamanten, Würfel Rohdiamanten;;;odrzucony
1069BA-E;;kamień spoza listy 8: Smaragde, Würfel Rohdiamanten;;;odrzucony
1054BB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1031BB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
1021BD;;kamień spoza listy 8: Blau Topaz;;;odrzucony
952BB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
922BA;;kamień spoza listy 8: Schwarz Diamant, Würfel Rohdiamanten;;;odrzucony
922BB;;kamień spoza listy 8: Schwarz Diamant, Würfel Rohdiamanten;;;odrzucony
846BA;;kamień spoza listy 8: Schwarz Diamanten;;;odrzucony
1081EB;;kamień spoza listy 8: Dublette Opal;;;odrzucony
1070EBX-BD;;kamień spoza listy 8: Schwarzer Diamanten, Würfel Rohdiamanten;;;odrzucony
1052EC-R;;kamień spoza listy 8: Rubin;;;odrzucony
886E;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
872EA;;kamień spoza listy 8: Dublet Opal;;;odrzucony
1070PB-BD;;kamień spoza listy 8: Schwarzer Diamant, Würfel Rohdiamanten;;;odrzucony
1070PA-BD;;kamień spoza listy 8: Schwarzer Diamant, Würfel Rohdiamanten;;;odrzucony
1069PA-E;;kamień spoza listy 8: Smaragde, Würfel Rohdiamant;;;odrzucony
620PB;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
215P;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
SET 1130;;answer_summary en: 61 słów (cel 40–60);;;ostrzeżenie
SET 967;;answer_summary en: 62 słów (cel 40–60);;;ostrzeżenie
SET 966;;kamień spoza listy 8: Dublette Opal;;;odrzucony
SET 246;;answer_summary en: 62 słów (cel 40–60);;;ostrzeżenie
